target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2017_K2,2023-02-08 08:29:00.005,2023-02-08 08:39:20.005,10.33,23h56m54.83s,-68d25m37.1s,{'filter': 'r'},300,2
TransitionBlock,2023-02-08 08:39:20.005,2023-02-08 08:41:40.005,2.33,,,[],,
Neptune,2023-02-08 08:41:40.005,2023-02-08 08:42:00.005,0.33,1h34m32.1s,-3d39m00.96s,{'filter': 'Halpha'},1,3
Neptune,2023-02-08 08:42:00.005,2023-02-08 08:42:20.005,0.33,1h34m32.1s,-3d39m00.96s,{'filter': 'SII'},1,3
Neptune,2023-02-08 08:42:20.005,2023-02-08 08:42:40.005,0.33,1h34m32.1s,-3d39m00.96s,{'filter': 'OIII'},1,3
Neptune,2023-02-08 08:42:40.005,2023-02-08 08:43:00.005,0.33,1h34m32.1s,-3d39m00.96s,{'filter': 'Methane'},1,3
Neptune,2023-02-08 08:43:00.005,2023-02-08 08:43:20.005,0.33,1h34m32.1s,-3d39m00.96s,{'filter': 'U'},1,3
Neptune,2023-02-08 08:43:20.005,2023-02-08 08:43:40.005,0.33,1h34m32.1s,-3d39m00.96s,{'filter': 'B'},1,3
Neptune,2023-02-08 08:43:40.005,2023-02-08 08:44:00.005,0.33,1h34m32.1s,-3d39m00.96s,{'filter': 'g'},1,3
TransitionBlock,2023-02-08 08:44:00.005,2023-02-08 08:46:20.005,2.33,,,[],,
C2017_K2,2023-02-08 08:46:20.005,2023-02-08 08:56:40.005,10.33,23h56m54.83s,-68d25m37.1s,{'filter': 'g'},300,2
TransitionBlock,2023-02-08 08:56:40.005,2023-02-08 08:57:40.005,1.0,,,[],,
C2019_E3,2023-02-08 08:57:40.005,2023-02-08 09:08:00.005,10.33,5h30m45.76s,-75d18m29s,{'filter': 'r'},300,2
C2019_E3,2023-02-08 09:08:00.005,2023-02-08 09:18:20.005,10.33,5h30m45.76s,-75d18m29s,{'filter': 'g'},300,2
TransitionBlock,2023-02-08 09:18:20.005,2023-02-08 09:20:40.005,2.33,,,[],,
C2021_Y1,2023-02-08 09:20:40.005,2023-02-08 09:31:00.005,10.33,3h15m41.49s,-13d29m54.1s,{'filter': 'g'},300,2
C2021_Y1,2023-02-08 09:31:00.005,2023-02-08 09:41:20.005,10.33,3h15m41.49s,-13d29m54.1s,{'filter': 'r'},300,2
TransitionBlock,2023-02-08 09:41:20.005,2023-02-08 09:42:40.005,1.33,,,[],,
C2021_S3,2023-02-08 09:42:40.005,2023-02-08 09:53:00.005,10.33,5h17m25.08s,-36d35m41.8s,{'filter': 'g'},300,2
C2021_S3,2023-02-08 09:53:00.005,2023-02-08 10:03:20.005,10.33,5h17m25.08s,-36d35m41.8s,{'filter': 'r'},300,2
TransitionBlock,2023-02-08 10:03:20.005,2023-02-08 10:04:20.005,1.0,,,[],,
C2021_E3,2023-02-08 10:34:00.010,2023-02-08 10:44:20.010,10.33,7h13m13.39s,-30d47m20.8s,{'filter': 'g'},300,2
C2021_E3,2023-02-08 10:44:20.010,2023-02-08 10:54:40.010,10.33,7h13m13.39s,-30d47m20.8s,{'filter': 'r'},300,2
TransitionBlock,2023-02-08 10:54:40.010,2023-02-08 10:55:40.010,1.0,,,[],,
C2021_G2,2023-02-08 12:08:00.013,2023-02-08 12:18:20.014,10.33,8h57m45.3s,-39d23m36.9s,{'filter': 'g'},300,2
C2021_G2,2023-02-08 12:18:20.014,2023-02-08 12:28:40.014,10.33,8h57m45.3s,-39d23m36.9s,{'filter': 'r'},300,2
TransitionBlock,2023-02-08 12:28:40.014,2023-02-08 12:30:00.014,1.33,,,[],,
C2022_A3,2023-02-08 12:30:20.014,2023-02-08 12:40:40.015,10.33,9h37m03.35s,-4d08m58.4s,{'filter': 'r'},300,2
C2022_A3,2023-02-08 12:40:40.015,2023-02-08 12:51:00.015,10.33,9h37m03.35s,-4d08m58.4s,{'filter': 'g'},300,2
TransitionBlock,2023-02-08 12:51:00.015,2023-02-08 12:52:20.015,1.33,,,[],,
C2019_L3,2023-02-08 12:52:40.015,2023-02-08 13:03:00.015,10.33,9h32m02.13s,-34d54m43.5s,{'filter': 'r'},300,2
C2019_L3,2023-02-08 13:03:00.015,2023-02-08 13:13:20.015,10.33,9h32m02.13s,-34d54m43.5s,{'filter': 'g'},300,2
TransitionBlock,2023-02-08 13:13:20.015,2023-02-08 13:14:00.015,0.67,,,[],,
C2022_E2,2023-02-08 13:15:20.016,2023-02-08 13:25:40.016,10.33,9h54m43.66s,-17d50m10.7s,{'filter': 'g'},300,2
C2022_E2,2023-02-08 13:25:40.016,2023-02-08 13:36:00.016,10.33,9h54m43.66s,-17d50m10.7s,{'filter': 'r'},300,2
TransitionBlock,2023-02-08 13:36:00.016,2023-02-08 13:36:40.016,0.67,,,[],,
157P,2023-02-08 14:15:40.018,2023-02-08 14:26:00.019,10.33,11h05m18.56s,-11d50m25.1s,{'filter': 'r'},300,2
157P,2023-02-08 14:26:00.019,2023-02-08 14:36:20.019,10.33,11h05m18.56s,-11d50m25.1s,{'filter': 'g'},300,2
TransitionBlock,2023-02-08 14:36:20.019,2023-02-08 14:39:00.019,2.67,,,[],,
C2021_C5,2023-02-08 16:10:20.022,2023-02-08 16:20:40.023,10.33,16h31m17.69s,-69d27m34.5s,{'filter': 'r'},300,2
C2021_C5,2023-02-08 16:20:40.023,2023-02-08 16:31:00.023,10.33,16h31m17.69s,-69d27m34.5s,{'filter': 'g'},300,2
TransitionBlock,2023-02-08 16:31:00.023,2023-02-08 16:32:00.023,1.0,,,[],,
C2021_P4,2023-02-08 16:32:20.023,2023-02-08 16:42:40.024,10.33,20h39m53.72s,-63d43m40.1s,{'filter': 'r'},300,2
