target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
m7,2023-02-10 08:26:20.005,2023-02-10 08:29:40.005,3.33,1h11m33.88s,-34d50m18s,{'filter': 'i'},60,3
m7,2023-02-10 08:29:40.005,2023-02-10 08:33:00.005,3.33,1h11m33.88s,-34d50m18s,{'filter': 'r'},60,3
m7,2023-02-10 08:33:00.005,2023-02-10 08:36:20.005,3.33,1h11m33.88s,-34d50m18s,{'filter': 'g'},60,3
TransitionBlock,2023-02-10 08:36:20.005,2023-02-10 08:37:00.005,0.67,,,[],,
pluto,2023-02-10 08:37:00.005,2023-02-10 08:40:20.005,3.33,1h20m20.51152s,-22d41m26.376s,{'filter': 'i'},60,3
pluto,2023-02-10 08:40:20.005,2023-02-10 08:43:40.005,3.33,1h20m20.51152s,-22d41m26.376s,{'filter': 'r'},60,3
pluto,2023-02-10 08:43:40.005,2023-02-10 08:47:00.005,3.33,1h20m20.51152s,-22d41m26.376s,{'filter': 'g'},60,3
TransitionBlock,2023-02-10 08:47:00.005,2023-02-10 08:47:20.005,0.33,,,[],,
helix nebula,2023-02-10 08:47:20.005,2023-02-10 08:50:40.005,3.33,1h29m57.541816s,-20d50m08.2482s,{'filter': 'i'},60,3
helix nebula,2023-02-10 08:50:40.005,2023-02-10 08:54:00.005,3.33,1h29m57.541816s,-20d50m08.2482s,{'filter': 'r'},60,3
helix nebula,2023-02-10 08:54:00.005,2023-02-10 08:57:20.005,3.33,1h29m57.541816s,-20d50m08.2482s,{'filter': 'g'},60,3
TransitionBlock,2023-02-10 08:57:20.005,2023-02-10 08:57:40.005,0.33,,,[],,
charon,2023-02-10 08:57:40.005,2023-02-10 09:01:00.005,3.33,1h20m20.51376s,-22d41m25.908s,{'filter': 'i'},60,3
charon,2023-02-10 09:01:00.005,2023-02-10 09:04:20.005,3.33,1h20m20.51376s,-22d41m25.908s,{'filter': 'r'},60,3
charon,2023-02-10 09:04:20.005,2023-02-10 09:07:40.005,3.33,1h20m20.51376s,-22d41m25.908s,{'filter': 'g'},60,3
