target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2017_K2,2023-02-06 08:32:00.006,2023-02-06 08:42:20.006,10.33,23h39m23.12s,-69d05m21.5s,{'filter': 'g'},300,2
TransitionBlock,2023-02-06 08:42:20.006,2023-02-06 08:44:20.006,2.0,,,[],,
C2021_S3,2023-02-06 08:47:20.006,2023-02-06 08:57:40.006,10.33,5h18m15.92s,-36d48m19.7s,{'filter': 'r'},300,2
TransitionBlock,2023-02-06 08:57:40.006,2023-02-06 08:59:00.006,1.33,,,[],,
C2019_E3,2023-02-06 09:01:20.007,2023-02-06 09:11:40.007,10.33,5h33m56.15s,-75d27m23s,{'filter': 'g'},300,2
C2019_E3,2023-02-06 09:11:40.007,2023-02-06 09:22:00.007,10.33,5h33m56.15s,-75d27m23s,{'filter': 'r'},300,2
TransitionBlock,2023-02-06 09:22:00.007,2023-02-06 09:23:00.007,1.0,,,[],,
C2017_K2,2023-02-06 09:23:00.007,2023-02-06 09:33:20.007,10.33,23h39m23.12s,-69d05m21.5s,{'filter': 'r'},300,2
TransitionBlock,2023-02-06 09:33:20.007,2023-02-06 09:35:20.007,2.0,,,[],,
C2021_S3,2023-02-06 09:35:20.007,2023-02-06 09:45:40.007,10.33,5h18m15.92s,-36d48m19.7s,{'filter': 'g'},300,2
TransitionBlock,2023-02-06 09:45:40.007,2023-02-06 09:47:00.007,1.33,,,[],,
C2021_Y1,2023-02-06 09:47:00.007,2023-02-06 09:57:20.007,10.33,3h15m23.92s,-13d08m23.5s,{'filter': 'g'},300,2
C2021_Y1,2023-02-06 09:57:20.007,2023-02-06 10:07:40.007,10.33,3h15m23.92s,-13d08m23.5s,{'filter': 'r'},300,2
TransitionBlock,2023-02-06 10:07:40.007,2023-02-06 10:09:40.007,2.0,,,[],,
C2021_E3,2023-02-06 10:35:00.010,2023-02-06 10:45:20.010,10.33,7h16m24.73s,-31d37m14.8s,{'filter': 'r'},300,2
C2021_E3,2023-02-06 10:45:20.010,2023-02-06 10:55:40.010,10.33,7h16m24.73s,-31d37m14.8s,{'filter': 'g'},300,2
TransitionBlock,2023-02-06 10:55:40.010,2023-02-06 10:56:40.010,1.0,,,[],,
C2021_G2,2023-02-06 12:27:00.014,2023-02-06 12:37:20.014,10.33,8h58m38.27s,-39d26m01.6s,{'filter': 'r'},300,2
C2021_G2,2023-02-06 12:37:20.014,2023-02-06 12:47:40.014,10.33,8h58m38.27s,-39d26m01.6s,{'filter': 'g'},300,2
TransitionBlock,2023-02-06 12:47:40.014,2023-02-06 12:49:00.014,1.33,,,[],,
C2022_A3,2023-02-06 12:50:00.015,2023-02-06 13:00:20.015,10.33,9h39m53.31s,-3d56m13.5s,{'filter': 'g'},300,2
TransitionBlock,2023-02-06 13:00:20.015,2023-02-06 13:01:40.015,1.33,,,[],,
C2019_L3,2023-02-06 13:02:00.015,2023-02-06 13:12:20.015,10.33,9h33m33.63s,-34d48m26.7s,{'filter': 'g'},300,2
C2019_L3,2023-02-06 13:12:20.015,2023-02-06 13:22:40.015,10.33,9h33m33.63s,-34d48m26.7s,{'filter': 'r'},300,2
TransitionBlock,2023-02-06 13:22:40.015,2023-02-06 13:23:20.015,0.67,,,[],,
C2022_E2,2023-02-06 13:25:00.016,2023-02-06 13:35:20.016,10.33,9h56m36.03s,-18d02m44.8s,{'filter': 'g'},300,2
TransitionBlock,2023-02-06 13:35:20.016,2023-02-06 13:36:00.016,0.67,,,[],,
C2022_A3,2023-02-06 13:36:00.016,2023-02-06 13:46:20.016,10.33,9h39m53.31s,-3d56m13.5s,{'filter': 'r'},300,2
TransitionBlock,2023-02-06 13:46:20.016,2023-02-06 13:47:00.016,0.67,,,[],,
C2022_E2,2023-02-06 13:47:00.016,2023-02-06 13:57:20.016,10.33,9h56m36.03s,-18d02m44.8s,{'filter': 'r'},300,2
TransitionBlock,2023-02-06 13:57:20.016,2023-02-06 13:58:00.016,0.67,,,[],,
157P,2023-02-06 14:35:20.019,2023-02-06 14:45:40.019,10.33,11h07m04.17s,-11d43m40.9s,{'filter': 'g'},300,2
157P,2023-02-06 14:45:40.019,2023-02-06 14:56:00.019,10.33,11h07m04.17s,-11d43m40.9s,{'filter': 'r'},300,2
TransitionBlock,2023-02-06 14:56:00.019,2023-02-06 14:58:40.019,2.67,,,[],,
81P,2023-02-06 16:07:40.022,2023-02-06 16:18:00.023,10.33,16h05m59.56s,-17d40m11.2s,{'filter': 'r'},300,2
81P,2023-02-06 16:18:00.023,2023-02-06 16:28:20.023,10.33,16h05m59.56s,-17d40m11.2s,{'filter': 'g'},300,2
TransitionBlock,2023-02-06 16:28:20.023,2023-02-06 16:30:20.023,2.0,,,[],,
C2021_C5,2023-02-06 16:30:40.023,2023-02-06 16:41:00.023,10.33,16h23m52.89s,-69d03m59.8s,{'filter': 'r'},300,2
C2021_C5,2023-02-06 16:41:00.023,2023-02-06 16:51:20.023,10.33,16h23m52.89s,-69d03m59.8s,{'filter': 'g'},300,2
TransitionBlock,2023-02-06 16:51:20.023,2023-02-06 16:52:20.023,1.0,,,[],,
C2021_P4,2023-02-06 16:52:40.024,2023-02-06 17:03:00.024,10.33,20h33m18.01s,-63d51m56.6s,{'filter': 'r'},300,2
C2021_P4,2023-02-06 17:03:00.024,2023-02-06 17:13:20.024,10.33,20h33m18.01s,-63d51m56.6s,{'filter': 'g'},300,2
