target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
TransitionBlock,2023-02-19 11:58:40.012,2023-02-19 12:00:00.012,1.33,,,[],,
C2022_A3,2023-02-19 12:00:00.012,2023-02-19 12:15:20.012,15.33,9h21m47.76s,-5d09m46.3s,{'filter': 'g'},300,3
TransitionBlock,2023-02-19 12:15:20.012,2023-02-19 12:16:00.012,0.67,,,[],,
C2022_E2,2023-02-19 12:19:40.014,2023-02-19 12:35:00.014,15.33,9h44m35.12s,-16d33m26.8s,{'filter': 'r'},300,3
C2022_E2,2023-02-19 12:35:00.014,2023-02-19 12:50:20.014,15.33,9h44m35.12s,-16d33m26.8s,{'filter': 'g'},300,3
TransitionBlock,2023-02-19 12:50:20.014,2023-02-19 12:52:40.014,2.33,,,[],,
C2019_E3,2023-02-19 12:52:40.014,2023-02-19 13:08:00.014,15.33,5h16m31.52s,-74d25m39s,{'filter': 'r'},300,3
TransitionBlock,2023-02-19 13:08:00.014,2023-02-19 13:10:40.014,2.67,,,[],,
157P,2023-02-19 13:14:20.016,2023-02-19 13:29:40.016,15.33,10h54m46.05s,-12d02m51.1s,{'filter': 'r'},300,3
157P,2023-02-19 13:29:40.016,2023-02-19 13:45:00.016,15.33,10h54m46.05s,-12d02m51.1s,{'filter': 'g'},300,3
TransitionBlock,2023-02-19 13:45:00.016,2023-02-19 13:46:40.016,1.67,,,[],,
C2023_B2,2023-02-19 13:53:00.017,2023-02-19 14:08:20.017,15.33,11h18m21.93s,-56d47m45.5s,{'filter': 'r'},300,3
C2023_B2,2023-02-19 14:08:20.017,2023-02-19 14:23:40.017,15.33,11h18m21.93s,-56d47m45.5s,{'filter': 'g'},300,3
TransitionBlock,2023-02-19 14:23:40.017,2023-02-19 14:25:00.017,1.33,,,[],,
C2019_E3,2023-02-19 14:25:00.017,2023-02-19 14:40:20.017,15.33,5h16m31.52s,-74d25m39s,{'filter': 'g'},300,3
TransitionBlock,2023-02-19 14:40:20.017,2023-02-19 14:42:00.017,1.67,,,[],,
C2019_L3,2023-02-19 14:42:00.017,2023-02-19 14:57:20.017,15.33,9h24m02.77s,-35d13m38.6s,{'filter': 'r'},300,3
C2019_L3,2023-02-19 14:57:20.017,2023-02-19 15:12:40.017,15.33,9h24m02.77s,-35d13m38.6s,{'filter': 'g'},300,3
TransitionBlock,2023-02-19 15:12:40.017,2023-02-19 15:15:00.017,2.33,,,[],,
A2019_U5,2023-02-19 15:21:40.021,2023-02-19 15:37:00.021,15.33,13h12m14.82s,+0d10m29.8s,{'filter': 'g'},300,3
A2019_U5,2023-02-19 15:37:00.021,2023-02-19 15:52:20.021,15.33,13h12m14.82s,+0d10m29.8s,{'filter': 'r'},300,3
TransitionBlock,2023-02-19 15:52:20.021,2023-02-19 15:55:20.021,3.0,,,[],,
C2021_C5,2023-02-19 15:55:40.022,2023-02-19 16:11:00.022,15.33,17h12m04.15s,-71d18m22s,{'filter': 'r'},300,3
C2021_C5,2023-02-19 16:11:00.022,2023-02-19 16:26:20.022,15.33,17h12m04.15s,-71d18m22s,{'filter': 'g'},300,3
TransitionBlock,2023-02-19 16:26:20.022,2023-02-19 16:28:20.022,2.0,,,[],,
81P,2023-02-19 16:28:40.023,2023-02-19 16:44:00.024,15.33,16h35m09.96s,-18d31m23.2s,{'filter': 'g'},300,3
81P,2023-02-19 16:44:00.024,2023-02-19 16:59:20.024,15.33,16h35m09.96s,-18d31m23.2s,{'filter': 'r'},300,3
TransitionBlock,2023-02-19 16:59:20.024,2023-02-19 17:01:40.024,2.33,,,[],,
C2021_P4,2023-02-19 17:02:00.024,2023-02-19 17:17:20.025,15.33,21h12m13.77s,-62d58m46.3s,{'filter': 'g'},300,3
C2021_P4,2023-02-19 17:17:20.025,2023-02-19 17:32:40.025,15.33,21h12m13.77s,-62d58m46.3s,{'filter': 'r'},300,3
