target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
Neptune,2023-02-19 08:12:00.005,2023-02-19 08:13:20.005,1.33,1h34m36.996s,-3d30m00.72s,{'filter': 'B'},10,5
Neptune,2023-02-19 08:13:20.005,2023-02-19 08:14:40.005,1.33,1h34m36.996s,-3d30m00.72s,{'filter': 'U'},10,5
Neptune,2023-02-19 08:14:40.005,2023-02-19 08:16:00.005,1.33,1h34m36.996s,-3d30m00.72s,{'filter': 'Methane'},10,5
Neptune,2023-02-19 08:16:00.005,2023-02-19 08:17:20.005,1.33,1h34m36.996s,-3d30m00.72s,{'filter': 'OIII'},10,5
TransitionBlock,2023-02-19 08:17:20.005,2023-02-19 08:18:20.005,1.0,,,[],,
NGC5068,2023-02-19 08:18:20.005,2023-02-19 08:22:40.005,4.33,0h53m14.2s,-21d02m12.6s,{'filter': 'i'},60,4
NGC5068,2023-02-19 08:22:40.005,2023-02-19 08:27:00.005,4.33,0h53m14.2s,-21d02m12.6s,{'filter': 'r'},60,4
NGC5068,2023-02-19 08:27:00.005,2023-02-19 08:31:20.005,4.33,0h53m14.2s,-21d02m12.6s,{'filter': 'g'},60,4
TransitionBlock,2023-02-19 08:31:20.005,2023-02-19 08:31:40.005,0.33,,,[],,
charon,2023-02-19 08:31:40.005,2023-02-19 08:37:20.005,5.67,1h20m25.11664s,-22d39m07.704s,{'filter': 'g'},60,5
charon,2023-02-19 08:37:20.005,2023-02-19 08:43:00.005,5.67,1h20m25.11664s,-22d39m07.704s,{'filter': 'r'},60,5
charon,2023-02-19 08:43:00.005,2023-02-19 08:48:40.005,5.67,1h20m25.11664s,-22d39m07.704s,{'filter': 'i'},60,5
TransitionBlock,2023-02-19 08:48:40.005,2023-02-19 08:50:40.005,2.0,,,[],,
C/2019 E3,2023-02-19 08:50:40.005,2023-02-19 08:56:20.005,5.67,0h21m05.00672s,-74d24m22.212s,{'filter': 'i'},60,5
C/2019 E3,2023-02-19 08:56:20.005,2023-02-19 09:02:00.005,5.67,0h21m05.00672s,-74d24m22.212s,{'filter': 'r'},60,5
C/2019 E3,2023-02-19 09:02:00.005,2023-02-19 09:07:40.005,5.67,0h21m05.00672s,-74d24m22.212s,{'filter': 'g'},60,5
TransitionBlock,2023-02-19 09:07:40.005,2023-02-19 09:09:20.005,1.67,,,[],,
m7,2023-02-19 09:09:20.005,2023-02-19 09:15:00.005,5.67,1h11m33.88s,-34d50m18s,{'filter': 'i'},60,5
m7,2023-02-19 09:15:00.005,2023-02-19 09:20:40.005,5.67,1h11m33.88s,-34d50m18s,{'filter': 'r'},60,5
m7,2023-02-19 09:20:40.005,2023-02-19 09:26:20.005,5.67,1h11m33.88s,-34d50m18s,{'filter': 'g'},60,5
TransitionBlock,2023-02-19 09:26:20.005,2023-02-19 09:29:00.005,2.67,,,[],,
C2021_E3,2023-02-19 09:34:20.008,2023-02-19 09:49:40.008,15.33,6h59m12.05s,-26d20m00.2s,{'filter': 'g'},300,3
TransitionBlock,2023-02-19 09:49:40.008,2023-02-19 09:50:40.008,1.0,,,[],,
C2021_S3,2023-02-19 09:50:40.008,2023-02-19 10:06:00.008,15.33,5h14m11.61s,-35d21m06.6s,{'filter': 'r'},300,3
C2021_S3,2023-02-19 10:06:00.008,2023-02-19 10:21:20.008,15.33,5h14m11.61s,-35d21m06.6s,{'filter': 'g'},300,3
TransitionBlock,2023-02-19 10:21:20.008,2023-02-19 10:22:40.008,1.33,,,[],,
C2021_Y1,2023-02-19 10:22:40.008,2023-02-19 10:38:00.008,15.33,3h19m10.2s,-15d10m27.8s,{'filter': 'r'},300,3
TransitionBlock,2023-02-19 10:38:00.008,2023-02-19 10:40:00.008,2.0,,,[],,
C2021_E3,2023-02-19 10:40:00.008,2023-02-19 10:55:20.008,15.33,6h59m12.05s,-26d20m00.2s,{'filter': 'r'},300,3
TransitionBlock,2023-02-19 10:55:20.008,2023-02-19 10:57:00.008,1.67,,,[],,
C2022_A3,2023-02-19 11:11:00.011,2023-02-19 11:26:20.011,15.33,9h21m47.76s,-5d09m46.3s,{'filter': 'r'},300,3
TransitionBlock,2023-02-19 11:26:20.011,2023-02-19 11:27:40.011,1.33,,,[],,
C2021_G2,2023-02-19 11:28:00.012,2023-02-19 11:43:20.012,15.33,8h53m13.52s,-39d00m25.8s,{'filter': 'r'},300,3
C2021_G2,2023-02-19 11:43:20.012,2023-02-19 11:58:40.012,15.33,8h53m13.52s,-39d00m25.8s,{'filter': 'g'},300,3
