target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2017_K2,2023-02-07 08:30:40.006,2023-02-07 08:41:00.006,10.33,23h47m52.03s,-68d47m05.1s,{'filter': 'g'},300,2
TransitionBlock,2023-02-07 08:41:00.006,2023-02-07 08:42:00.006,1.0,,,[],,
C2019_E3,2023-02-07 08:45:40.006,2023-02-07 08:56:00.006,10.33,5h32m23.98s,-75d23m10.7s,{'filter': 'r'},300,2
C2019_E3,2023-02-07 08:56:00.006,2023-02-07 09:06:20.006,10.33,5h32m23.98s,-75d23m10.7s,{'filter': 'g'},300,2
TransitionBlock,2023-02-07 09:06:20.006,2023-02-07 09:07:20.006,1.0,,,[],,
C2017_K2,2023-02-07 09:07:20.006,2023-02-07 09:17:40.006,10.33,23h47m52.03s,-68d47m05.1s,{'filter': 'r'},300,2
TransitionBlock,2023-02-07 09:17:40.006,2023-02-07 09:19:40.006,2.0,,,[],,
Helix Nebula,2023-02-07 09:19:40.006,2023-02-07 09:35:00.006,15.33,1h29m57.56s,-20d50m08.4s,{'filter': 'Halpha'},300,3
Helix Nebula,2023-02-07 09:35:00.006,2023-02-07 09:50:20.006,15.33,1h29m57.56s,-20d50m08.4s,{'filter': 'SII'},300,3
Helix Nebula,2023-02-07 09:50:20.006,2023-02-07 10:05:40.006,15.33,1h29m57.56s,-20d50m08.4s,{'filter': 'OIII'},300,3
TransitionBlock,2023-02-07 10:05:40.006,2023-02-07 10:06:40.006,1.0,,,[],,
C2021_Y1,2023-02-07 10:06:40.006,2023-02-07 10:17:00.006,10.33,3h15m31.41s,-13d18m47.4s,{'filter': 'r'},300,2
TransitionBlock,2023-02-07 10:17:00.006,2023-02-07 10:18:20.006,1.33,,,[],,
C2021_S3,2023-02-07 10:18:20.006,2023-02-07 10:28:40.006,10.33,5h17m51.06s,-36d42m21.3s,{'filter': 'g'},300,2
