target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2021_S3,2023-02-07 10:28:40.006,2023-02-07 10:39:00.006,10.33,5h17m51.06s,-36d42m21.3s,{'filter': 'r'},300,2
TransitionBlock,2023-02-07 10:39:00.006,2023-02-07 10:40:00.006,1.0,,,[],,
C2021_E3,2023-02-07 10:40:00.006,2023-02-07 10:50:20.006,10.33,7h14m51.95s,-31d13m26.9s,{'filter': 'g'},300,2
C2021_E3,2023-02-07 10:50:20.006,2023-02-07 11:00:40.006,10.33,7h14m51.95s,-31d13m26.9s,{'filter': 'r'},300,2
TransitionBlock,2023-02-07 11:00:40.006,2023-02-07 11:02:40.006,2.0,,,[],,
C2021_Y1,2023-02-07 11:02:40.006,2023-02-07 11:13:00.006,10.33,3h15m31.41s,-13d18m47.4s,{'filter': 'g'},300,2
TransitionBlock,2023-02-07 11:13:00.006,2023-02-07 11:15:40.006,2.67,,,[],,
C2021_G2,2023-02-07 12:12:20.014,2023-02-07 12:22:40.014,10.33,8h58m12.93s,-39d24m57.2s,{'filter': 'r'},300,2
C2021_G2,2023-02-07 12:22:40.014,2023-02-07 12:33:00.014,10.33,8h58m12.93s,-39d24m57.2s,{'filter': 'g'},300,2
TransitionBlock,2023-02-07 12:33:00.014,2023-02-07 12:34:20.014,1.33,,,[],,
C2022_A3,2023-02-07 12:35:00.014,2023-02-07 12:45:20.015,10.33,9h38m32.27s,-4d02m22.1s,{'filter': 'r'},300,2
C2022_A3,2023-02-07 12:45:20.015,2023-02-07 12:55:40.015,10.33,9h38m32.27s,-4d02m22.1s,{'filter': 'g'},300,2
TransitionBlock,2023-02-07 12:55:40.015,2023-02-07 12:57:00.015,1.33,,,[],,
C2019_L3,2023-02-07 12:57:20.015,2023-02-07 13:07:40.015,10.33,9h32m49.91s,-34d51m33.4s,{'filter': 'r'},300,2
C2019_L3,2023-02-07 13:07:40.015,2023-02-07 13:18:00.015,10.33,9h32m49.91s,-34d51m33.4s,{'filter': 'g'},300,2
TransitionBlock,2023-02-07 13:18:00.015,2023-02-07 13:18:40.015,0.67,,,[],,
C2022_E2,2023-02-07 13:20:20.016,2023-02-07 13:30:40.016,10.33,9h55m42.46s,-17d56m49s,{'filter': 'g'},300,2
C2022_E2,2023-02-07 13:30:40.016,2023-02-07 13:41:00.016,10.33,9h55m42.46s,-17d56m49s,{'filter': 'r'},300,2
TransitionBlock,2023-02-07 13:41:00.016,2023-02-07 13:41:40.016,0.67,,,[],,
157P,2023-02-07 14:30:40.019,2023-02-07 14:41:00.019,10.33,11h06m14.39s,-11d47m04.7s,{'filter': 'g'},300,2
157P,2023-02-07 14:41:00.019,2023-02-07 14:51:20.019,10.33,11h06m14.39s,-11d47m04.7s,{'filter': 'r'},300,2
TransitionBlock,2023-02-07 14:51:20.019,2023-02-07 14:54:00.019,2.67,,,[],,
C2021_C5,2023-02-07 16:06:20.022,2023-02-07 16:16:40.022,10.33,16h27m24.77s,-69d15m22.3s,{'filter': 'g'},300,2
TransitionBlock,2023-02-07 16:16:40.022,2023-02-07 16:17:40.022,1.0,,,[],,
C2021_P4,2023-02-07 16:18:00.023,2023-02-07 16:28:20.023,10.33,20h36m28.4s,-63d48m00.4s,{'filter': 'r'},300,2
C2021_P4,2023-02-07 16:28:20.023,2023-02-07 16:38:40.023,10.33,20h36m28.4s,-63d48m00.4s,{'filter': 'g'},300,2
TransitionBlock,2023-02-07 16:38:40.023,2023-02-07 16:41:00.023,2.33,,,[],,
81P,2023-02-07 16:41:20.024,2023-02-07 16:51:40.024,10.33,16h08m18.96s,-17d45m03.7s,{'filter': 'r'},300,2
81P,2023-02-07 16:51:40.024,2023-02-07 17:02:00.024,10.33,16h08m18.96s,-17d45m03.7s,{'filter': 'g'},300,2
TransitionBlock,2023-02-07 17:02:00.024,2023-02-07 17:04:00.024,2.0,,,[],,
C2021_C5,2023-02-07 17:04:20.024,2023-02-07 17:14:40.024,10.33,16h27m24.77s,-69d15m22.3s,{'filter': 'r'},300,2
