target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
TransitionBlock,2023-02-20 09:21:40.005,2023-02-20 09:24:20.005,2.67,,,[],,
C2021_E3,2023-02-20 09:30:00.008,2023-02-20 09:45:20.008,15.33,6h58m31.77s,-26d04m32.8s,{'filter': 'g'},300,3
TransitionBlock,2023-02-20 09:45:20.008,2023-02-20 09:46:20.008,1.0,,,[],,
C2021_S3,2023-02-20 09:46:20.008,2023-02-20 10:01:40.008,15.33,5h14m04.39s,-35d16m26.4s,{'filter': 'r'},300,3
C2021_S3,2023-02-20 10:01:40.008,2023-02-20 10:17:00.008,15.33,5h14m04.39s,-35d16m26.4s,{'filter': 'g'},300,3
TransitionBlock,2023-02-20 10:17:00.008,2023-02-20 10:18:20.008,1.33,,,[],,
C2021_Y1,2023-02-20 10:18:20.008,2023-02-20 10:33:40.008,15.33,3h19m28s,-15d15m44.2s,{'filter': 'r'},300,3
TransitionBlock,2023-02-20 10:33:40.008,2023-02-20 10:35:40.008,2.0,,,[],,
C2021_E3,2023-02-20 10:35:40.008,2023-02-20 10:51:00.008,15.33,6h58m31.77s,-26d04m32.8s,{'filter': 'r'},300,3
TransitionBlock,2023-02-20 10:51:00.008,2023-02-20 10:52:20.008,1.33,,,[],,
C2019_L3,2023-02-20 10:52:40.011,2023-02-20 11:08:00.011,15.33,9h23m35.67s,-35d14m01.6s,{'filter': 'r'},300,3
TransitionBlock,2023-02-20 11:08:00.011,2023-02-20 11:08:20.011,0.33,,,[],,
C2021_G2,2023-02-20 11:08:40.011,2023-02-20 11:24:00.012,15.33,8h52m58.5s,-38d58m33.5s,{'filter': 'g'},300,3
C2021_G2,2023-02-20 11:24:00.012,2023-02-20 11:39:20.012,15.33,8h52m58.5s,-38d58m33.5s,{'filter': 'r'},300,3
TransitionBlock,2023-02-20 11:39:20.012,2023-02-20 11:40:40.012,1.33,,,[],,
C2022_A3,2023-02-20 11:52:00.013,2023-02-20 12:07:20.013,15.33,9h20m54.53s,-5d12m56.9s,{'filter': 'g'},300,3
TransitionBlock,2023-02-20 12:07:20.013,2023-02-20 12:08:00.013,0.67,,,[],,
C2022_E2,2023-02-20 12:15:00.014,2023-02-20 12:30:20.014,15.33,9h43m59.45s,-16d28m29.1s,{'filter': 'r'},300,3
C2022_E2,2023-02-20 12:30:20.014,2023-02-20 12:45:40.014,15.33,9h43m59.45s,-16d28m29.1s,{'filter': 'g'},300,3
TransitionBlock,2023-02-20 12:45:40.014,2023-02-20 12:46:20.014,0.67,,,[],,
C2022_A3,2023-02-20 12:46:20.014,2023-02-20 13:01:40.014,15.33,9h20m54.53s,-5d12m56.9s,{'filter': 'r'},300,3
TransitionBlock,2023-02-20 13:01:40.014,2023-02-20 13:04:20.014,2.67,,,[],,
C2019_E3,2023-02-20 13:04:20.014,2023-02-20 13:19:40.014,15.33,5h15m49.73s,-74d22m20.4s,{'filter': 'r'},300,3
TransitionBlock,2023-02-20 13:19:40.014,2023-02-20 13:22:20.014,2.67,,,[],,
157P,2023-02-20 13:25:00.016,2023-02-20 13:40:20.016,15.33,10h54m06.83s,-12d02m24.6s,{'filter': 'g'},300,3
157P,2023-02-20 13:40:20.016,2023-02-20 13:55:40.016,15.33,10h54m06.83s,-12d02m24.6s,{'filter': 'r'},300,3
TransitionBlock,2023-02-20 13:55:40.016,2023-02-20 13:57:20.016,1.67,,,[],,
C2023_B2,2023-02-20 13:57:20.016,2023-02-20 14:12:40.016,15.33,11h19m04.08s,-56d47m19.9s,{'filter': 'r'},300,3
C2023_B2,2023-02-20 14:12:40.016,2023-02-20 14:28:00.016,15.33,11h19m04.08s,-56d47m19.9s,{'filter': 'g'},300,3
TransitionBlock,2023-02-20 14:28:00.016,2023-02-20 14:29:20.016,1.33,,,[],,
C2019_E3,2023-02-20 14:29:20.016,2023-02-20 14:44:40.016,15.33,5h15m49.73s,-74d22m20.4s,{'filter': 'g'},300,3
TransitionBlock,2023-02-20 14:44:40.016,2023-02-20 14:46:20.016,1.67,,,[],,
C2019_L3,2023-02-20 14:46:20.016,2023-02-20 15:01:40.016,15.33,9h23m35.67s,-35d14m01.6s,{'filter': 'g'},300,3
TransitionBlock,2023-02-20 15:01:40.016,2023-02-20 15:04:00.016,2.33,,,[],,
A2019_U5,2023-02-20 15:23:20.021,2023-02-20 15:38:40.021,15.33,13h11m16.15s,+0d08m28.2s,{'filter': 'g'},300,3
A2019_U5,2023-02-20 15:38:40.021,2023-02-20 15:54:00.021,15.33,13h11m16.15s,+0d08m28.2s,{'filter': 'r'},300,3
TransitionBlock,2023-02-20 15:54:00.021,2023-02-20 15:57:00.021,3.0,,,[],,
C2021_C5,2023-02-20 15:57:20.022,2023-02-20 16:12:40.022,15.33,17h14m30.22s,-71d24m04s,{'filter': 'r'},300,3
C2021_C5,2023-02-20 16:12:40.022,2023-02-20 16:28:00.022,15.33,17h14m30.22s,-71d24m04s,{'filter': 'g'},300,3
TransitionBlock,2023-02-20 16:28:00.022,2023-02-20 16:30:00.022,2.0,,,[],,
81P,2023-02-20 16:30:20.023,2023-02-20 16:45:40.024,15.33,16h36m30.29s,-18d33m12s,{'filter': 'g'},300,3
81P,2023-02-20 16:45:40.024,2023-02-20 17:01:00.024,15.33,16h36m30.29s,-18d33m12s,{'filter': 'r'},300,3
TransitionBlock,2023-02-20 17:01:00.024,2023-02-20 17:03:20.024,2.33,,,[],,
C2021_P4,2023-02-20 17:03:40.024,2023-02-20 17:19:00.025,15.33,21h13m58.92s,-62d56m11.5s,{'filter': 'g'},300,3
C2021_P4,2023-02-20 17:19:00.025,2023-02-20 17:34:20.025,15.33,21h13m58.92s,-62d56m11.5s,{'filter': 'r'},300,3
