target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
Neptune,2023-02-20 08:10:20.005,2023-02-20 08:11:40.005,1.33,1h34m37.308s,-3d29m06.12s,{'filter': 'B'},10,5
Neptune,2023-02-20 08:11:40.005,2023-02-20 08:13:00.005,1.33,1h34m37.308s,-3d29m06.12s,{'filter': 'U'},10,5
TransitionBlock,2023-02-20 08:13:00.005,2023-02-20 08:14:00.005,1.0,,,[],,
NGC5068,2023-02-20 08:14:00.005,2023-02-20 08:18:20.005,4.33,0h53m14.2s,-21d02m12.6s,{'filter': 'i'},60,4
NGC5068,2023-02-20 08:18:20.005,2023-02-20 08:22:40.005,4.33,0h53m14.2s,-21d02m12.6s,{'filter': 'r'},60,4
NGC5068,2023-02-20 08:22:40.005,2023-02-20 08:27:00.005,4.33,0h53m14.2s,-21d02m12.6s,{'filter': 'g'},60,4
TransitionBlock,2023-02-20 08:27:00.005,2023-02-20 08:27:20.005,0.33,,,[],,
charon,2023-02-20 08:27:20.005,2023-02-20 08:33:00.005,5.67,1h20m25.60736s,-22d38m52.908s,{'filter': 'g'},60,5
charon,2023-02-20 08:33:00.005,2023-02-20 08:38:40.005,5.67,1h20m25.60736s,-22d38m52.908s,{'filter': 'r'},60,5
charon,2023-02-20 08:38:40.005,2023-02-20 08:44:20.005,5.67,1h20m25.60736s,-22d38m52.908s,{'filter': 'i'},60,5
TransitionBlock,2023-02-20 08:44:20.005,2023-02-20 08:46:20.005,2.0,,,[],,
C/2019 E3,2023-02-20 08:46:20.005,2023-02-20 08:52:00.005,5.67,0h21m00.66032s,-74d19m06.708s,{'filter': 'i'},60,5
C/2019 E3,2023-02-20 08:52:00.005,2023-02-20 08:57:40.005,5.67,0h21m00.66032s,-74d19m06.708s,{'filter': 'r'},60,5
C/2019 E3,2023-02-20 08:57:40.005,2023-02-20 09:03:20.005,5.67,0h21m00.66032s,-74d19m06.708s,{'filter': 'g'},60,5
TransitionBlock,2023-02-20 09:03:20.005,2023-02-20 09:04:40.005,1.33,,,[],,
m7,2023-02-20 09:04:40.005,2023-02-20 09:10:20.005,5.67,1h11m33.88s,-34d50m18s,{'filter': 'i'},60,5
m7,2023-02-20 09:10:20.005,2023-02-20 09:16:00.005,5.67,1h11m33.88s,-34d50m18s,{'filter': 'r'},60,5
m7,2023-02-20 09:16:00.005,2023-02-20 09:21:40.005,5.67,1h11m33.88s,-34d50m18s,{'filter': 'g'},60,5
