target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2021_S3_22S01,2023-02-09 08:33:20.006,2023-02-09 08:48:20.006,15.0,5h18m27.33s,-36d50m57.2s,{'filter': 'r'},20,36
TransitionBlock,2023-02-09 08:48:20.006,2023-02-09 08:49:40.006,1.33,,,[],,
C2019_E3_22S01,2023-02-09 08:49:40.006,2023-02-09 09:04:00.006,14.33,5h34m37.94s,-75d29m13.7s,{'filter': 'g'},60,13
C2019_E3_22S01,2023-02-09 09:04:00.006,2023-02-09 09:18:20.006,14.33,5h34m37.94s,-75d29m13.7s,{'filter': 'r'},60,13
TransitionBlock,2023-02-09 09:18:20.006,2023-02-09 09:19:20.006,1.0,,,[],,
C2017_K2_22S01,2023-02-09 09:19:20.006,2023-02-09 09:34:20.006,15.0,23h35m32.67s,-69d13m03.9s,{'filter': 'g'},20,36
C2017_K2_22S01,2023-02-09 09:34:20.006,2023-02-09 09:49:20.006,15.0,23h35m32.67s,-69d13m03.9s,{'filter': 'r'},20,36
TransitionBlock,2023-02-09 09:49:20.006,2023-02-09 09:51:20.006,2.0,,,[],,
C2021_S3_22S01,2023-02-09 09:51:20.006,2023-02-09 10:06:20.006,15.0,5h18m27.33s,-36d50m57.2s,{'filter': 'g'},20,36
TransitionBlock,2023-02-09 10:06:20.006,2023-02-09 10:07:40.006,1.33,,,[],,
C2021_Y1_22S01,2023-02-09 10:07:40.006,2023-02-09 10:22:40.006,15.0,3h15m21.12s,-13d03m41s,{'filter': 'g'},20,36
TransitionBlock,2023-02-09 10:22:40.006,2023-02-09 10:24:40.006,2.0,,,[],,
C2021_E3_22S01,2023-02-09 10:31:40.010,2023-02-09 10:46:40.010,15.0,7h17m06.88s,-31d47m49.4s,{'filter': 'g'},20,36
C2021_E3_22S01,2023-02-09 10:46:40.010,2023-02-09 11:01:40.010,15.0,7h17m06.88s,-31d47m49.4s,{'filter': 'r'},20,36
TransitionBlock,2023-02-09 11:01:40.010,2023-02-09 11:02:40.010,1.0,,,[],,
C2021_G2_22S01,2023-02-09 11:58:20.013,2023-02-09 12:13:20.014,15.0,8h58m49.59s,-39d26m27.5s,{'filter': 'g'},20,36
C2021_G2_22S01,2023-02-09 12:13:20.014,2023-02-09 12:28:20.014,15.0,8h58m49.59s,-39d26m27.5s,{'filter': 'r'},20,36
TransitionBlock,2023-02-09 12:28:20.014,2023-02-09 12:28:40.014,0.33,,,[],,
C2019_L3_22S01,2023-02-09 12:33:20.014,2023-02-09 12:48:20.015,15.0,9h33m53.1s,-34d46m59.5s,{'filter': 'r'},20,36
C2019_L3_22S01,2023-02-09 12:48:20.015,2023-02-09 13:03:20.015,15.0,9h33m53.1s,-34d46m59.5s,{'filter': 'g'},20,36
TransitionBlock,2023-02-09 13:03:20.015,2023-02-09 13:04:00.015,0.67,,,[],,
C2022_E2_22S01,2023-02-09 13:11:20.016,2023-02-09 13:26:20.016,15.0,9h56m59.83s,-18d05m20.7s,{'filter': 'g'},20,36
TransitionBlock,2023-02-09 13:26:20.016,2023-02-09 13:27:00.016,0.67,,,[],,
C2022_A3_22S01,2023-02-09 13:27:00.016,2023-02-09 13:41:40.016,14.67,9h40m29.32s,-3d53m27.5s,{'filter': 'g'},30,25
C2022_A3_22S01,2023-02-09 13:41:40.016,2023-02-09 13:56:20.016,14.67,9h40m29.32s,-3d53m27.5s,{'filter': 'r'},30,25
TransitionBlock,2023-02-09 13:56:20.016,2023-02-09 13:57:20.016,1.0,,,[],,
157P_22S01,2023-02-09 14:07:20.018,2023-02-09 14:22:00.018,14.67,11h07m25.94s,-11d42m03.9s,{'filter': 'r'},30,25
157P_22S01,2023-02-09 14:22:00.018,2023-02-09 14:36:40.018,14.67,11h07m25.94s,-11d42m03.9s,{'filter': 'g'},30,25
TransitionBlock,2023-02-09 14:36:40.018,2023-02-09 14:37:20.018,0.67,,,[],,
C2022_E2_22S01,2023-02-09 14:37:20.018,2023-02-09 14:52:20.018,15.0,9h56m59.83s,-18d05m20.7s,{'filter': 'r'},20,36
TransitionBlock,2023-02-09 14:52:20.018,2023-02-09 14:55:20.018,3.0,,,[],,
81P_22S01,2023-02-09 15:45:20.021,2023-02-09 16:00:20.022,15.0,16h04m56.99s,-17d37m57.3s,{'filter': 'r'},20,36
81P_22S01,2023-02-09 16:00:20.022,2023-02-09 16:15:20.022,15.0,16h04m56.99s,-17d37m57.3s,{'filter': 'g'},20,36
TransitionBlock,2023-02-09 16:15:20.022,2023-02-09 16:17:20.022,2.0,,,[],,
C2021_C5_22S01,2023-02-09 16:17:40.023,2023-02-09 16:32:20.023,14.67,16h22m18.86s,-68d58m51.8s,{'filter': 'r'},30,25
C2021_C5_22S01,2023-02-09 16:32:20.023,2023-02-09 16:47:00.023,14.67,16h22m18.86s,-68d58m51.8s,{'filter': 'g'},30,25
TransitionBlock,2023-02-09 16:47:00.023,2023-02-09 16:48:00.023,1.0,,,[],,
C2021_P4_22S01,2023-02-09 16:48:20.024,2023-02-09 17:03:00.024,14.67,20h31m52.37s,-63d53m41.1s,{'filter': 'r'},30,25
C2021_P4_22S01,2023-02-09 17:03:00.024,2023-02-09 17:17:40.024,14.67,20h31m52.37s,-63d53m41.1s,{'filter': 'g'},30,25
